program;thread_num;stars_count;time
./task1.py;128;2560;51.833578
./task2.py;128;2560;45.742958
./task1.py;64;2560;46.748287
./task2.py;64;2560;43.371712
./task1.py;32;2560;47.106439
./task2.py;32;2560;41.639844
./task1.py;16;2560;46.016140
./task2.py;16;2560;41.541850
./task1.py;8;2560;44.809937
./task2.py;8;2560;41.428155
./task1.py;4;2560;47.861403
./task2.py;4;2560;41.792911
./task1.py;2;2560;81.775473
./task2.py;2;2560;79.698118
./task1.py;1;2560;142.434379
./task2.py;1;2560;147.672094
./task1.py;128;2560;51.465414
./task2.py;128;2560;43.157508
./task1.py;64;2560;46.980793
./task2.py;64;2560;45.209291
./task1.py;32;2560;47.080643
./task2.py;32;2560;42.744790
./task1.py;16;2560;45.122843
./task2.py;16;2560;43.012388
./task1.py;8;2560;44.410089
./task2.py;8;2560;42.266536
./task1.py;4;2560;46.189449
./task2.py;4;2560;41.312030
./task1.py;2;2560;80.197713
./task2.py;2;2560;81.285247
./task1.py;1;2560;145.300799
./task2.py;1;2560;149.179978
./task1.py;128;2560;50.133660
./task2.py;128;2560;46.326574
./task1.py;64;2560;46.689610
./task2.py;64;2560;43.467593
./task1.py;32;2560;46.017349
./task2.py;32;2560;42.554798
./task1.py;16;2560;44.884384
./task2.py;16;2560;40.302917
./task1.py;8;2560;44.054021
./task2.py;8;2560;39.782521
./task1.py;4;2560;45.041399
./task2.py;4;2560;44.070728
./task1.py;2;2560;80.396454
./task2.py;2;2560;81.433302
./task1.py;1;2560;142.386373
./task2.py;1;2560;145.183696
./task1.py;128;2560;49.094418
./task2.py;128;2560;44.065021
./task1.py;64;2560;47.934717
./task2.py;64;2560;45.674441
./task1.py;32;2560;46.291551
./task2.py;32;2560;42.807500
./task1.py;16;2560;45.369694
./task2.py;16;2560;41.415380
./task1.py;8;2560;45.855053
./task2.py;8;2560;40.874578
./task1.py;4;2560;43.655951
./task2.py;4;2560;41.990438
./task1.py;2;2560;77.288083
./task2.py;2;2560;85.032332
./task1.py;1;2560;147.110598
./task2.py;1;2560;147.985900
./task1.py;128;2560;51.223739
./task2.py;128;2560;43.595803
./task1.py;64;2560;48.625134
./task2.py;64;2560;42.288913
./task1.py;32;2560;46.521744
./task2.py;32;2560;43.274179
./task1.py;16;2560;45.300866
./task2.py;16;2560;41.349082
./task1.py;8;2560;43.638441
./task2.py;8;2560;40.603099
./task1.py;4;2560;44.722027
./task2.py;4;2560;42.113037
./task1.py;2;2560;78.041160
./task2.py;2;2560;81.794276
./task1.py;1;2560;141.230442
./task2.py;1;2560;142.942956
